logged_at_server,date,day,event,code,kind,video_sha256,photo_sha256s,weight,status
2026-07-27,2026-07-27,8,capture-attested,7670,daily,67b04309a9581e1eb23e78f3dc9adfd1e1689a9174a75cea19501d7323b94059,39962a37ae56524fd118f7dfbd12e180811a03a6a783945fe70e0c4f7f8a1f91 2a6ec4c31a258c78779af3d6392713dd20a7ae366a974976e8a0ce00a378823c d7f2f2ac2e132f8ec1852f42ca5565ac4adf8a8d9e3f42d5ca6f6febad754444 c97be46eb33e6010ee70e402e828b89508c353aaf79ee84aa2561b06f948c522,337.9,VALID — code issued 2 min before attest
2026-07-27,2026-07-27,8,capture-attested,5370,daily,350ab3779855e0d7143b8b251751aa036c535528eecb6041b86474c244574fe3,08aaa57f25bdd90587575d2b95c3083fe9d52e2457c982696663f459cc5eb984 309364483968c2a217458b9a6fa380c76cba15f6430e6223f15b70c336187a56 6de7c634fce739bc526f37227326ef4da9e6fa4d4a063714a776ab19b6b8fcac 240582a881db7eea345573c898e25f5f0e14072891303d8d76e9ef4b402eb9c2,337.9,VALID — code issued 2 min before attest
2026-07-28,2026-07-28,9,capture-attested,6037,daily,2e484039f75bf2bf6e59be0e4d0936226ecc97fe59008e316e91a0e0738038f5,9395991fa8378ea35e69d8651b92a5c8fb45254dd05b803f9cf2635830fd6cac 83dab6e2d273182a6297778d8f385b85d5c7917032aa49563c31a334679599f2 052d419e768081b4ef12eb467373d056545ea0472fac1cb62c1c176305bc163b 244e3688f7ebe7c0dd819bc01860b31efb95462ee94fbcf9bcf959d833d8eef4,337.9,VALID — code issued 2 min before attest
2026-07-29,2026-07-29,10,capture-attested,2972,daily,01187e2999dd87b38155f0a6203e3917a5f612a239c8409bf4995eaf27e45093,f781fca084a52285de5b23c74f998a53b630a0e45d3c1bd32d336bff9a6a7464 0d276aeef4caec7adc895cb98740cec877a11b8cbc7df1341a631bc1f4e9cb62 c1b98cb18d9d046f0f12636aeac6b5bf1dc8085d809b0e9228c310ad47ba321b 9dec5ac182a3f2d416005005eec200fd20c5d737f787609087e73fe08794675a,335.6,VALID — code issued 2 min before attest
2026-08-02T10:08:30-04:00,2026-08-02,14,capture-attested,4561,daily,185f2fdfda49223970061951094efd2b28a25c433b473865719e5e3ecd2f0f0d,ea7dc2dd7a0401a2ddae5a93bcb96f4b0148788c5da80b8bd4a15b778270d56b 0695bf799d0160fabc0b172ede47bf53769b839162d3ee69395195489708ec59 f8ac35dd2dcedced2b0c20b9b387bd2e9fcefce2f9f48fd4e540ea4031ef1170 fc5ee72c6a00c0e264a417afb2de8e3825907a3aad6608997501705505402ba5,338,VALID — code issued 2 min before attest
2026-08-02T10:13:45-04:00,2026-08-02,14,capture-attested,1099,daily,8f0852a09df18da2b278faa1c2f0e4d863a2e7bce4cbce9755d7697746235d23,780f5a2ed7cdfab036cc489a14f4ff8d38230cb50ed986b15acf13a6c8c47c92 e6cc1ba270a43fb787563c367113a7e15dc857a3838a80474890d86c263f1a3d fff3503c6f48c601b2c993ac43b1d848e72297f881b1dba42275711bb71e6c1d 7b700427c8f9eb8f81b24e6e4de18bd7f810c942f236eaca6a67bb6e3a7590fc,338,VALID — code issued 2 min before attest
2026-08-02T10:23:25-04:00,2026-08-02,14,capture-attested,2527,daily,031905679cd218ede4c2c47073a30bf1568a744f01ec81d343dc5692fe858c7a,cc67cecb395bb6bcbfa5d19babfde0183c1530d47267b85af2a779be5be40d66 6b2d60f05c81b825a0c7bffbee3b51d8ac8de2a5b4ea2d6e04fa9e5530a7c886 7086c04dd8710cdae03e751c007b173a67393caa8d5327070296caaf925c6b41 b690bcb026caa3b018ac08924b5ee7473c4944947b1ebbdd5bef302d10d904bf,338,VALID — code issued 2 min before attest
2026-08-02T10:32:22-04:00,2026-08-02,14,capture-attested,6160,daily,472d8317c98e76143242c4cf986456a25dd9d0796773d710e063ec54f763f61c,eeb2ed777769d90fce9af51a482e0981606fcb2b6b5f48f732a8785511159ca7 d9e6de07b4e6fae7040a7c2fc1f71cced71ce4fb2621d1e1f3d97f035ae4648b 5344bf4ad083533e9b28e356e504f9d0a9cb8ba01ecc05ed32e07479faefbf3a 5f1fd9f639c6b62e28e367c7c4677f5a38d9237f9aed2a23cf15b957f1ede96a,338,VALID — code issued 2 min before attest
2026-08-02T19:12:44-04:00,2026-08-02,14,capture-attested,4199,daily,d2a3595dcf4a0b91023c9f164e958ca9ba5c5ac292ecc401fc2758cf6b6cdd57,7a5525dd37930cedb1171fecbd21fdff4e6e940dc5fdc5491bc64adb54bc4f6a 9c67ebb4c1b152deaed6a0b2e03fbd47220cf2816fedd54d2e34880afac208a0 1d1a89b89ef60a511f56699c48a328f93b9f55b0e76110d5996fe421af0afbdd 701fea53939fad36bf2ed5cae436bf3c41f1ababbad5bb954f2a362c46191025,337.2,VALID — code issued 2 min before attest
2026-08-02T19:15:08-04:00,2026-08-02,14,capture-attested,5691,daily,aaeea17a2c4f676e4e724592a044c87cd344170adb8bf34c48e39b69d656a02f,8ae993c7e932a453d7e06810a0a605cd5395a5e60dc6c095113576f643347024 7db753345593acc53f619a19eda03a17d1b0e323fb463ea112396cb8d2de63d3 577796ef6cee62ab7e8594ea84ccf88b9e8127b3c1e329aa82e5c2ca8aea8c4f 09bd68c1a59d648d5583ec890567d83f3fcf93b3cac2efa7a85acd466ea584a8,337.2,VALID — code issued 2 min before attest
